"complaint_text","priority"
"Critical doppelganger active","High"
"Minor delays in sprint creation","Medium"
"Critical disaster recovery failed","High"
"Seldom","Other"
"Background operations occasionally stutter","Medium"
"Let me think","Other"
"I'll be waiting","Other"
"Request to add quick action buttons","Low"
"Down the road","Other"
"Suggestion to add more engagement metrics","Low"
"Catastrophic total system collapse","High"
"File uploads occasionally delay","Medium"
"Moderate delays in transactions","Medium"
"Fabulous","Other"
"Minor latency in responses","Medium"
"Add ability to track regulations","Low"
"Slow rendering of graphs","Medium"
"Request to add roadmap planning","Low"
"Minor delays in loading content","Medium"
"Request to add task management","Low"
"Here we go","Other"
"Total infrastructure breach detected","High"
"Video conferencing tool lags sometimes","Medium"
"Occasional freezes in UI","Medium"
"Total operational catastrophe","High"
"Where do we go from here","Other"
"At least","Other"
"Ready when you are","Other"
"Add option to group items","Low"
"Request to add market research tools","Low"
"Final stretch","Other"
"API calls occasionally fail silently","Medium"
"Rome wasn't built in a day","Other"
"What's new","Other"
"Add option to measure lead time","Low"
"Major absolute critical failure","High"
"Emergency active shooter situation","High"
"In conclusion","Other"
"For the time being","Other"
"Request to add data analytics","Low"
"Critical credit rating destroyed","High"
"Never mind","Other"
"Natural disaster affecting server location","High"
"Moreover","Other"
"Critical service degradation affecting revenue","High"
"Critical hostage situation active","High"
"These things happen","Other"
"Add ability to manage governance","Low"
"Request to add templates","Low"
"Total civilization collapse","High"
"True that","Other"
"Total identity confusion","High"
"Okay so","Other"
"Database query timeout errors","Medium"
"Suggestions","Other"
"Doing better","Other"
"Following that","Other"
"Major lawsuits pending","High"
"Production database corrupted","High"
"Background processes occasionally timeout","Medium"
"Security certificate expired","High"
"Couldn't agree more","Other"
"Request to add undo feature","Low"
"On the plus side","Other"
"Thank you so much","Other"
"Suggestion to add more environment tools","Low"
"Background tasks occasionally stutter","Medium"
"Farewell","Other"
"Add option to monitor metrics","Low"
"Emergency total facility evacuation","High"
"I suppose","Other"
"Lovely to chat","Other"
"Add export to PDF option","Low"
"What's the status","Other"
"Form validation occasionally times out","Medium"
"Add option to manage sprints","Low"
"Earned it","Other"
"Splendid","Other"
"Suggestion to add more dashboards","Low"
"Anything else","Other"
"Appreciate it","Other"
"Critical global catastrophe event","High"
"Background sync occasionally returns null","Medium"
"Five stars","Other"
"Talk to you soon","Other"
"Let's wait and see","Other"
"Request to add kanban boards","Low"
"Request to add regulatory tracking","Low"
"Background tasks occasionally timeout","Medium"
"Request to add logistics tracking","Low"
"Critical arrest warrant active","High"
"Critical enlightenment path blocked","High"
"Background task occasionally stalls","Medium"
"Total universal catastrophic failure","High"
"Critical nuclear option required","High"
"Suggestion to add more auth methods","Low"
"Add option to categorize issues","Low"
"Anything new","Other"
"Request to add experimentation framework","Low"
"Despite that","Other"
"Slow loading of user profiles","Medium"
"I wonder","Other"
